customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,has_zero_balance,age_group,tenure_group,inactive_with_one_product,credit_score_band
15634602,619,France,Female,42,2,0.0,1,yes,yes,101348.88,yes,yes,35-44,1-2,no,Fair
15647311,608,Spain,Female,41,1,83807.86,1,no,yes,112542.58,no,no,35-44,1-2,no,Fair
15619304,502,France,Female,42,8,159660.8,3,yes,no,113931.57,yes,no,35-44,6-10,no,Poor
15701354,699,France,Female,39,1,0.0,2,no,no,93826.63,no,yes,35-44,1-2,no,Good
15737888,850,Spain,Female,43,2,125510.82,1,yes,yes,79084.1,no,no,35-44,1-2,no,Excellent
15574012,645,Spain,Male,44,8,113755.78,2,yes,no,149756.71,yes,no,35-44,6-10,no,Fair
15592531,822,France,Male,50,7,0.0,2,yes,yes,10062.8,no,yes,45-54,6-10,no,Excellent
15656148,376,Germany,Female,29,4,115046.74,4,yes,no,119346.88,yes,no,25-34,3-5,no,Poor
15792365,501,France,Male,44,4,142051.07,2,no,yes,74940.5,no,no,35-44,3-5,no,Poor
15592389,684,France,Male,27,2,134603.88,1,yes,yes,71725.73,no,no,25-34,1-2,no,Good
15767821,528,France,Male,31,6,102016.72,2,no,no,80181.12,no,no,25-34,6-10,no,Poor
15737173,497,Spain,Male,24,3,0.0,2,yes,no,76390.01,no,yes,<25,3-5,no,Poor
15632264,476,France,Female,34,10,0.0,2,yes,no,26260.98,no,yes,25-34,6-10,no,Poor
15691483,549,France,Female,25,5,0.0,2,no,no,190857.79,no,yes,<25,3-5,no,Poor
15600882,635,Spain,Female,35,7,0.0,2,yes,yes,65951.65,no,yes,25-34,6-10,no,Fair
15643966,616,Germany,Male,45,3,143129.41,2,no,yes,64327.26,no,no,35-44,3-5,no,Fair
15737452,653,Germany,Male,58,1,132602.88,1,yes,no,5097.67,yes,no,55-64,1-2,yes,Fair
15788218,549,Spain,Female,24,9,0.0,2,yes,yes,14406.41,no,yes,<25,6-10,no,Poor
15661507,587,Spain,Male,45,6,0.0,1,no,no,158684.81,no,yes,35-44,6-10,yes,Fair
15568982,726,France,Female,24,6,0.0,2,yes,yes,54724.03,no,yes,<25,6-10,no,Good
15577657,732,France,Male,41,8,0.0,2,yes,yes,170886.17,no,yes,35-44,6-10,no,Good
15597945,636,Spain,Female,32,8,0.0,2,yes,no,138555.46,no,yes,25-34,6-10,no,Fair
15699309,510,Spain,Female,38,4,0.0,1,yes,no,118913.53,yes,yes,35-44,3-5,yes,Poor
15725737,669,France,Male,46,3,0.0,2,no,yes,8487.75,no,yes,45-54,3-5,no,Fair
15625047,846,France,Female,38,5,0.0,1,yes,yes,187616.16,no,yes,35-44,3-5,no,Excellent
15738191,577,France,Male,25,3,0.0,2,no,yes,124508.29,no,yes,<25,3-5,no,Poor
15736816,756,Germany,Male,36,2,136815.64,1,yes,yes,170041.95,no,no,35-44,1-2,no,Very Good
15700772,571,France,Male,44,9,0.0,2,no,no,38433.35,no,yes,35-44,6-10,no,Poor
